noto-fonts-cjk 20201206-1
noto-fonts-emoji 20200916-1
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numlockx 1.2-5
nvidia-prime 1.0-4
nvidia-utils 460.39-1
okular 20.12.2-1
oomox 1.12.5.3-4
openresolv 3.12.0-1
openssh 8.4p1-2
os-prober 1.77-1
oxygen 5.20.5-1
oxygen-icons 1:5.78.0-1
p7zip 17.03-2
pacman 5.2.2-3
pamac-cli 10.0.4-2
pamac-flatpak-plugin 10.0.4-2
pamac-gtk 10.0.4-2
pamac-snap-plugin 10.0.4-2
pamac-tray-icon-plasma 0.1.2-3
paprefs 1.1-2
partitionmanager 20.12.2-1
pbzip2 1.1.13-3
pciutils 3.7.0-1
perl 5.32.0-3
perl-file-mimeinfo 0.30-1
phonon-qt5-gstreamer 4.10.0-2
pigz 2.4-2
plasma-browser-integration 5.20.5-1
plasma-desktop 5.20.5-2
plasma-nm 5.20.5-1
plasma-pa 5.20.5-1
plasma-simplemenu 1.0.12-1
plasma-workspace 5.20.5-2
plasma-workspace-wallpapers 5.20.5-1
poppler-data 0.4.10-1
powerdevil 5.20.5-1
powertop 2.13-1
print-manager 20.12.2-1
procps-ng 3.3.16-3
psmisc 23.3-4
pulseaudio-bluetooth 14.2-2
pulseaudio-ctl 1.67-1
pulseaudio-zeroconf 14.2-2
pulseeffects-legacy 4.8.4-3
pygments-base16 1.0.3-1
python-pillow 8.1.0-1
python-pip 20.3.1-1
python-pyqt5 5.15.2-3
python-pysmbc 1.0.23-2
python-reportlab 3.5.60-1
qbittorrent 4.3.3-1
qt5-imageformats 5.15.2-1
qt5-virtualkeyboard 5.15.2-1
quota-tools 1:4.06-1
ranger 1.9.3.143.g5047d9e5-1
reiserfsprogs 3.6.27-3
ripgrep 12.1.1-1
rpi-imager 1.5-1
rsync 3.2.3-3
ruby 2.7.2-1
ruby-fusuma 1.11.1-1
ruby-fusuma-plugin-keypress 0.2.1-1
s-nail 14.9.20-1
safe-rm 0.12-1
samba 4.13.4-1
screenfetch 3.9.1-1
sddm 0.18.1-3
sddm-breath2-theme 1.0.10-2
sddm-kcm 5.20.5-1
sed 4.8-1
shadow 4.8.1-4
skanlite 2.2.0-1
snapd 2.48.2-1
snapd-glib 1.54-1
spectacle 20.12.2-1
spectre-meltdown-checker 0.43-1
spicetify-cli 1.2.0-1
spotify 1:1.1.42.622-2
sshfs 3.7.1-1
steam-manjaro 1.0.0.68-1
stow 2.3.1-3
sudo 1.9.5.p2-1
svg2png 0.1.3-7
sysfsutils 2.1.0-11
system-config-printer 1.5.15-1
systemd 247.3-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-5
systemd-sysvcompat 247.3-1
systemsettings 5.20.5-1
tar 1.33-1
tela-icon-theme 202010121-1
terminus-font 4.49.1-1
texinfo 6.7-3
thefuck 3.30-2
thunderbird-bin 78.7.1-1
timeshift 20.11.1.r3.g08d0e59-2
